user_id,rating,recipe_id,timestamp
0,5.0,71919.0,1
0,5.0,104599.0,2
1,4.0,144407.0,1
1,5.0,64693.0,2
1,5.0,69781.0,3
1,5.0,8767.0,4
1,5.0,69363.0,5
1,5.0,105615.0,6
1,5.0,90397.0,7
1,5.0,70107.0,8
1,5.0,104833.0,9
1,3.0,69358.0,10
1,4.0,105981.0,11
1,3.0,93283.0,12
1,5.0,5363.0,13
1,5.0,5363.0,14
1,5.0,93015.0,15
1,5.0,32015.0,16
1,4.0,89136.0,17
1,5.0,92485.0,18
1,5.0,75208.0,19
1,5.0,49639.0,20
1,5.0,72598.0,21
1,5.0,71919.0,22
1,5.0,61703.0,23
1,2.0,144990.0,24
1,5.0,73037.0,25
1,5.0,104790.0,26
1,5.0,71387.0,27
1,5.0,68197.0,28
1,3.0,70412.0,29
2,5.0,25011.0,1
2,5.0,75468.0,2
2,5.0,107154.0,3
2,5.0,49212.0,4
2,5.0,125311.0,5
2,4.0,115350.0,6
2,5.0,55319.0,7
2,5.0,56796.0,8
2,5.0,138580.0,9
2,5.0,127443.0,10
2,5.0,133982.0,11
2,5.0,140142.0,12
2,5.0,84367.0,13
2,5.0,140538.0,14
2,5.0,46390.0,15
2,6.0,80987.0,16
2,5.0,88243.0,17
2,5.0,100518.0,18
2,5.0,140244.0,19
2,5.0,73081.0,20
2,5.0,79445.0,21
2,5.0,58720.0,22
2,6.0,55696.0,23
2,5.0,144990.0,24
2,5.0,62388.0,25
2,5.0,93622.0,26
2,5.0,58891.0,27
2,5.0,56272.0,28
2,5.0,126531.0,29
2,5.0,93227.0,30
2,6.0,101355.0,31
2,6.0,49104.0,32
2,6.0,116418.0,33
2,4.0,6223.0,34
2,5.0,73876.0,35
2,6.0,100539.0,36
2,6.0,106799.0,37
2,5.0,97014.0,38
2,5.0,100163.0,39
2,5.0,124635.0,40
2,5.0,59979.0,41
2,5.0,59474.0,42
2,5.0,91539.0,43
2,6.0,130600.0,44
2,5.0,82892.0,45
2,5.0,92526.0,46
2,5.0,69944.0,47
2,5.0,105470.0,48
2,6.0,84348.0,49
2,5.0,103856.0,50
2,5.0,35738.0,51
2,5.0,134456.0,52
2,5.0,83947.0,53
2,5.0,98992.0,54
2,5.0,97433.0,55
2,6.0,66028.0,56
2,6.0,100495.0,57
2,5.0,80132.0,58
2,5.0,61019.0,59
2,5.0,79021.0,60
2,5.0,89626.0,61
2,5.0,124504.0,62
2,5.0,103010.0,63
2,5.0,140216.0,64
2,5.0,117889.0,65
2,5.0,53327.0,66
2,5.0,59970.0,67
2,6.0,58520.0,68
2,5.0,127785.0,69
2,5.0,52537.0,70
2,5.0,62960.0,71
2,5.0,59721.0,72
2,5.0,107933.0,73
